Month,state,median_listing_price,active_listing_count,new_listing_count,price_increased_count,average_listing_price,total_listing_count
21-Jan,indiana,199900,7948,3888,236,282289.7938,13266
21-Jan,vermont,329000,1685,452,24,539560.9715,2573
21-Jan,new york,575000,55114,13116,632,1259411.035,90430
21-Jan,maine,289900,3011,932,64,461881.1786,3954
21-Jan,kentucky,224900,6267,2496,100,311928.8017,13037
21-Jan,nebraska,254900,3038,1200,324,318883.3829,6462
21-Jan,alaska,299900,1324,456,24,398680.5196,1401
21-Jan,california,775000,37353,26944,1300,1822620.912,81924
21-Jan,hawaii,638000,7620,1484,72,1165948.933,8864
21-Jan,new hampshire,399000,1452,932,76,580646.4477,2806
20-Dec,illinois,235400,34477,9764,396,366882.55,57366
20-Dec,montana,396500,2706,664,40,851910.3839,5373
20-Dec,nebraska,245950,3379,1176,108,312724.2204,7093
20-Dec,florida,344950,92648,30700,4840,745776.7223,159062
20-Dec,hawaii,642500,7267,1480,52,1205207.944,8466
20-Dec,utah,549950,3973,2300,292,1108825.63,12275
20-Dec,alaska,299900,1576,340,16,383036.6149,1690
20-Dec,indiana,200500,9155,3928,152,276352.1573,15345
20-Dec,arkansas,199900,6830,2084,92,290967.7413,10453
20-Dec,south carolina,279950,15307,5332,1132,447643.0341,28219
20-Dec,district of columbia,606999.5,1708,620,12,948225.9409,2760
20-Dec,wisconsin,249950,9374,2904,80,351324.0845,15667
20-Dec,connecticut,385000,11930,2860,136,847461.2371,12088
20-Dec,georgia,320227.5,32606,13996,2236,459858.009,66473
20-Dec,mississippi,222050,5752,1516,112,297020.014,9105
20-Dec,maryland,342000,8011,4268,468,500562.9753,19991
20-Dec,rhode island,387000,1460,784,16,739059.713,3803
20-Dec,north dakota,236250,2341,460,20,279510.8646,3148
20-Dec,vermont,325000,1941,412,16,514631.6748,2986
20-Dec,new hampshire,379000,1872,916,60,522433.7284,3582
20-Dec,massachusetts,609450,8999,3592,180,1091332.52,14873
20-Dec,missouri,215000,11856,4384,324,314462.6643,23554
20-Dec,texas,299896,57396,23228,4136,454427.2132,106350
20-Dec,iowa,214900,8704,2016,440,254321.5397,14843
20-Dec,california,727000,43302,22380,1436,1596134.449,93996
20-Dec,new mexico,279900,4547,1400,116,443365.3891,7740
20-Dec,minnesota,294950,10349,3692,232,394001.0162,18678
20-Dec,arizona,389000,9647,6256,688,664991.671,25382
20-Dec,ohio,189000,15057,6740,440,283073.1587,32733
20-Dec,oregon,473996.5,5630,2992,1980,643307.2122,14572
20-Dec,new york,570196,61781,9772,592,1222454.865,102597
20-Dec,kansas,189975,4739,1728,140,293881.2406,9526
20-Dec,tennessee,315000,12055,5328,772,469653.8508,24463
20-Dec,new jersey,437100,23788,8024,496,655853.6798,35860
20-Dec,south dakota,240400,1896,488,24,325533.705,2585
20-Dec,pennsylvania,259450,20591,6628,592,387373.3816,39363
20-Dec,kentucky,222000,7115,2720,116,311542.7836,14515
20-Dec,wyoming,265000,1906,472,16,622600.9844,2658
20-Dec,alabama,249950,12007,3872,712,340621.8252,17618
20-Dec,michigan,233950,17214,6860,408,353491.3039,27809
20-Dec,virginia,346465,15766,6832,944,537129.6253,30538
20-Dec,colorado,513595.5,11099,4640,648,1156263.16,22570
20-Dec,washington,499950,7063,4388,812,742687.6354,20636
